ID,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
6267,Nov,2,Wednesday,Mazda,Urban,Friday,Dec,2,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6268,2,400,1,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision
9219,Jan,2,Tuesday,Honda,Rural,Tuesday,Jan,2,Male,Married,32,Policy Holder,Sport - Collision,Sport,more than 69000,1,9220,14,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1995,Collision
6607,Sep,4,Thursday,Chevrolet,Urban,Friday,Sep,4,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,6608,15,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
1925,Feb,1,Tuesday,Mazda,Urban,Thursday,Feb,1,Male,Single,34,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1926,5,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
3957,Mar,1,Wednesday,Accura,Urban,Thursday,Mar,1,Male,Married,28,Third Party,Sedan - Liability,Sport,more than 69000,0,3958,11,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Liability
12521,Jan,5,Monday,Mazda,Urban,Tuesday,Apr,1,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,12522,13,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils
4834,Jul,3,Wednesday,Dodge,Urban,Monday,Jul,4,Female,Married,45,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4835,13,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
13249,Dec,2,Sunday,Mazda,Urban,Monday,Dec,2,Male,Married,67,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,13250,7,400,4,more than 30,more than 30,1,7 years,over 65,No,No,External,1 to 2,no change,1 vehicle,1996,Liability
8981,Feb,4,Saturday,Chevrolet,Urban,Friday,Mar,1,Male,Married,40,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8982,14,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability
11950,Feb,2,Friday,Honda,Urban,Tuesday,Feb,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,11951,6,400,1,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,All Perils
12850,Nov,5,Tuesday,Pontiac,Urban,Tuesday,Nov,5,Male,Married,56,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12851,1,400,1,8 to 15,8 to 15,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,Collision
3169,Dec,3,Friday,VW,Urban,Monday,Jan,2,Male,Married,47,Third Party,Sedan - Liability,Sport,40000 to 59000,0,3170,11,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
11763,Jan,4,Monday,Honda,Urban,Monday,Jan,4,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11764,4,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
1824,May,2,Saturday,Mazda,Urban,Monday,May,5,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1825,15,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
9229,May,2,Thursday,Accura,Urban,Friday,May,3,Male,Married,49,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,9230,15,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils
13136,Oct,2,Monday,Mazda,Urban,Monday,Nov,2,Male,Single,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,13137,1,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
185,Jan,1,Sunday,Pontiac,Urban,Wednesday,Jan,1,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,186,10,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
13772,Jan,2,Tuesday,Toyota,Urban,Wednesday,Jan,2,Female,Married,39,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,13773,8,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,Internal,none,no change,1 vehicle,1996,Collision
1015,Sep,2,Wednesday,Chevrolet,Urban,Thursday,Oct,2,Male,Married,37,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1016,9,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
6554,Nov,3,Tuesday,Toyota,Urban,Wednesday,Nov,3,Female,Single,33,Third Party,Sedan - Liability,Sport,20000 to 29000,0,6555,4,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
5470,Aug,1,Wednesday,Toyota,Rural,Thursday,Aug,1,Male,Married,49,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,5471,7,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
6077,Nov,4,Thursday,Honda,Rural,Friday,Mar,2,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,6078,3,400,4,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
4693,Jul,4,Thursday,Mazda,Urban,Friday,Jul,4,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4694,12,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
2992,Jul,1,Tuesday,Honda,Urban,Wednesday,Jul,1,Male,Single,62,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,2993,9,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
12130,Feb,3,Wednesday,Mazda,Urban,Wednesday,Mar,1,Male,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12131,4,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability
11810,Apr,4,Tuesday,Pontiac,Urban,Wednesday,Apr,4,Male,Married,53,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,11811,16,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils
10622,Mar,4,Friday,Mazda,Urban,Wednesday,Mar,5,Female,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10623,3,400,2,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
13263,Jul,1,Saturday,Pontiac,Urban,Tuesday,Jul,2,Male,Single,22,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,13264,3,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,Yes,No,External,more than 5,no change,1 vehicle,1996,All Perils
15147,Jun,1,Friday,Toyota,Urban,Friday,Jun,1,Male,Married,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,15148,1,500,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,2 to 3 years,1 vehicle,1996,Liability
14460,Sep,1,Tuesday,Ford,Urban,Wednesday,Nov,5,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,14461,16,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils
2354,Jul,1,Saturday,Mazda,Urban,Tuesday,Jul,1,Male,Single,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,2355,1,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
9996,Feb,2,Thursday,Pontiac,Urban,Tuesday,Feb,3,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,9997,9,500,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,2 to 3 years,2 vehicles,1995,Collision
5209,Jul,3,Tuesday,Pontiac,Urban,Tuesday,Jul,3,Male,Married,47,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,5210,12,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
8793,Jan,5,Monday,Pontiac,Urban,Thursday,Feb,1,Female,Single,29,Third Party,Sedan - Collision,Sedan,less than 20000,0,8794,4,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
2084,May,4,Thursday,Toyota,Urban,Thursday,May,4,Female,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2085,16,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
6219,Feb,2,Monday,Toyota,Rural,Wednesday,Feb,2,Male,Married,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6220,14,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
10786,Jul,2,Monday,Honda,Urban,Wednesday,Dec,5,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,10787,14,400,1,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,All Perils
2823,Dec,1,Saturday,Toyota,Urban,Monday,Dec,3,Male,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2824,7,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
10837,Mar,3,Wednesday,Honda,Urban,Wednesday,Mar,4,Male,Single,53,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,10838,2,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
12199,Aug,2,Friday,Toyota,Urban,Friday,Feb,2,Male,Single,53,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12200,15,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils
1556,Nov,3,Tuesday,Pontiac,Urban,Tuesday,Nov,4,Male,Single,18,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1557,12,400,4,more than 30,more than 30,more than 4,4 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1863,Oct,1,Sunday,Toyota,Urban,Tuesday,Oct,1,Female,Married,61,Policy Holder,Sedan - Liability,Sport,less than 20000,0,1864,4,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
8537,May,4,Sunday,Honda,Urban,Monday,May,4,Female,Single,25,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8538,6,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1995,Liability
12524,Mar,3,Tuesday,VW,Rural,Tuesday,Mar,3,Male,Married,54,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,12525,7,700,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability
12706,Mar,3,Friday,Toyota,Urban,Monday,Mar,4,Male,Married,53,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12707,2,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Liability
8848,Dec,4,Monday,Honda,Urban,Wednesday,Jan,1,Male,Single,26,Third Party,Sedan - All Perils,Sedan,more than 69000,0,8849,11,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
6367,Dec,3,Friday,Pontiac,Urban,Wednesday,Dec,4,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6368,1,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
7600,May,3,Saturday,Pontiac,Urban,Monday,May,3,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,7601,11,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
5018,Jul,2,Sunday,Honda,Urban,Monday,Oct,2,Male,Married,46,Policy Holder,Sport - Collision,Sport,more than 69000,1,5019,9,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
749,Mar,4,Tuesday,Toyota,Rural,Thursday,Mar,4,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,750,14,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
4338,Jul,4,Saturday,Chevrolet,Rural,Monday,Jul,4,Male,Married,46,Third Party,Sedan - Liability,Sport,20000 to 29000,0,4339,8,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,Internal,1 to 2,no change,1 vehicle,1994,Liability
240,Jan,3,Sunday,Chevrolet,Urban,Tuesday,Jan,3,Male,Single,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,241,16,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
2286,Jun,1,Friday,Toyota,Urban,Friday,Jun,3,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2287,5,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
5942,Mar,2,Tuesday,Chevrolet,Urban,Friday,Mar,2,Male,Married,51,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,5943,15,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
13130,Jun,1,Thursday,Honda,Rural,Thursday,Jun,1,Male,Single,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13131,11,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Liability
9683,Sep,4,Tuesday,Toyota,Urban,Monday,Oct,1,Male,Married,52,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9684,9,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
393,Jul,2,Thursday,Chevrolet,Urban,Friday,Jul,2,Male,Single,22,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,394,6,400,2,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils
7463,May,1,Friday,Mazda,Urban,Friday,May,1,Female,Single,32,Policy Holder,Sedan - Liability,Sport,more than 69000,0,7464,2,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
2422,Mar,2,Thursday,Pontiac,Urban,Monday,Mar,2,Male,Married,53,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2423,3,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
10538,May,4,Wednesday,VW,Urban,Friday,Jun,2,Male,Single,43,Policy Holder,Sedan - Liability,Sport,more than 69000,0,10539,7,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
10271,Jul,2,Sunday,Accura,Urban,Wednesday,Aug,3,Male,Married,64,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,10272,2,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
2296,May,5,Monday,Toyota,Rural,Thursday,Jun,1,Male,Married,49,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2297,2,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,3 to 4,1994,All Perils
8927,May,1,Monday,Honda,Urban,Tuesday,May,1,Female,Married,31,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8928,1,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
4517,Feb,4,Wednesday,Honda,Urban,Wednesday,Feb,4,Female,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4518,12,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
2341,Nov,5,Wednesday,Pontiac,Urban,Friday,Dec,1,Male,Single,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2342,15,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
4106,May,5,Monday,Pontiac,Urban,Tuesday,Jun,3,Male,Married,38,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,4107,9,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
11010,Oct,4,Saturday,Ford,Urban,Monday,Nov,4,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11011,1,400,4,more than 30,more than 30,none,7 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1995,Collision
5492,Jul,2,Thursday,Pontiac,Urban,Monday,Jul,3,Male,Married,50,Third Party,Sedan - All Perils,Sedan,less than 20000,0,5493,10,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
9583,Dec,3,Thursday,Pontiac,Urban,Friday,Dec,3,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9584,11,400,4,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
12041,Jan,3,Saturday,Toyota,Urban,Monday,Jan,3,Male,Married,63,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12042,13,400,4,more than 30,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils
4885,Jan,1,Sunday,Chevrolet,Urban,Tuesday,Jan,1,Female,Single,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4886,12,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
10231,Mar,5,Tuesday,Mazda,Urban,Friday,Apr,1,Male,Married,48,Third Party,Sedan - Collision,Sedan,less than 20000,0,10232,14,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision
14242,Jun,4,Sunday,Chevrolet,Urban,Monday,Jun,4,Male,Single,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14243,3,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision
5402,Mar,1,Friday,Chevrolet,Urban,Monday,Mar,5,Male,Married,43,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5403,15,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
15128,Jan,5,Saturday,Honda,Urban,Thursday,Feb,1,Male,Married,44,Third Party,Sedan - Liability,Sport,20000 to 29000,0,15129,7,700,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability
2200,Feb,3,Thursday,Toyota,Urban,Friday,Feb,3,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,2201,10,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
11042,Apr,1,Friday,Mazda,Urban,Thursday,Apr,2,Male,Single,37,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11043,8,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
11194,Apr,1,Saturday,Honda,Urban,Monday,Apr,3,Male,Married,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11195,12,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
4922,Oct,4,Monday,Toyota,Urban,Monday,Oct,4,Male,Married,35,Policy Holder,Sedan - Liability,Sport,less than 20000,0,4923,9,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
11149,Dec,1,Saturday,Pontiac,Urban,Thursday,Dec,2,Male,Married,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11150,11,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,Internal,3 to 5,no change,1 vehicle,1995,Liability
3711,Dec,3,Thursday,Ford,Urban,Tuesday,Mar,3,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,3712,12,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
10209,Apr,1,Tuesday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,34,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,10210,1,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,3 to 4,1995,All Perils
14611,Jul,4,Monday,Pontiac,Urban,Wednesday,Jul,4,Male,Married,37,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14612,15,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision
8750,Jan,3,Thursday,Pontiac,Urban,Thursday,Jan,3,Male,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8751,3,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability
3836,Jun,2,Monday,Pontiac,Urban,Monday,Jun,2,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3837,9,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
3604,Mar,3,Saturday,Toyota,Urban,Tuesday,Mar,4,Male,Married,59,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3605,14,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
9047,Aug,3,Thursday,Mazda,Urban,Friday,Aug,3,Male,Married,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9048,16,400,4,more than 30,more than 30,1,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
1527,Nov,4,Sunday,Chevrolet,Urban,Saturday,Dec,1,Male,Single,27,Third Party,Sedan - Liability,Sport,20000 to 29000,0,1528,4,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
757,Jan,4,Friday,Dodge,Urban,Tuesday,Feb,1,Male,Single,33,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,758,16,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
10801,Jul,3,Thursday,Chevrolet,Urban,Monday,Jul,4,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,10802,12,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
13630,Jul,3,Tuesday,Ford,Urban,Friday,Sep,2,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,1,13631,15,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils
2556,Jul,4,Wednesday,Mazda,Urban,Thursday,Jul,4,Male,Married,57,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2557,13,400,2,more than 30,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
5000,Oct,2,Sunday,Mazda,Urban,Monday,Oct,2,Male,Married,61,Third Party,Sedan - Liability,Sport,30000 to 39000,0,5001,2,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
13624,Dec,3,Thursday,Pontiac,Urban,Friday,Dec,3,Male,Married,61,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,13625,16,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,Liability
123,Apr,4,Tuesday,Honda,Urban,Tuesday,Apr,4,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,124,1,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,3 to 4,1994,Collision
1528,Aug,4,Thursday,Pontiac,Urban,Monday,Aug,5,Female,Single,45,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1529,1,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
8730,Jan,5,Sunday,Honda,Urban,Thursday,Feb,1,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8731,6,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision
12279,Apr,4,Monday,Pontiac,Urban,Thursday,May,1,Female,Single,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12280,7,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Liability
8681,Feb,1,Sunday,Pontiac,Urban,Wednesday,Feb,3,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8682,8,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
5749,Nov,4,Tuesday,Toyota,Urban,Tuesday,Nov,4,Male,Married,62,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5750,11,400,4,more than 30,more than 30,none,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
11943,Dec,3,Thursday,Pontiac,Urban,Monday,Jan,1,Female,Single,22,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11944,3,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1996,Collision
12260,Feb,2,Friday,Pontiac,Urban,Friday,Feb,2,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,12261,4,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
7479,Apr,2,Saturday,Mazda,Urban,Friday,Apr,3,Female,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7480,3,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
